course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg
"St. Andrews",72,7247,430,184,-0.29,0.16,0,-0.33,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07
"Kiawah Island Resort",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.5894,-0.005,-0.02,-0.056,-0.017
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5198,0.009,-0.009,-0.054,-0.046
"PGA National Resort and Spa",70,7020,448,187,1.42,0.19,0.11,-0.35,277.1,16.3,0.6023,0.004,0.02,-0.053,-0.04
"Eagle Point Golf Club",72,7291,470,176,0.7,0.11,0.07,-0.11,284.8,16.6,0.6022,-0.002,0.002,-0.053,-0.013
"Glen Abbey Golf Club",72,7197,466,168,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5168,0.007,0.006,-0.047,0.032
"Augusta National Golf Club",72,7451,480,182,1.97,0.17,0.24,-0.27,291.6,21.3,0.7093,-0.022,-0.079,-0.046,0.01
"Arnold Palmer's Bay Hill Club & Lodge",72,7352,465,209,1.05,0.17,0.15,-0.29,280.9,18.5,0.6114,0,0.002,-0.046,-0.032
"TPC Sawgrass",72,7121,459,178,0.78,0.15,0.14,-0.3,280.8,18.5,0.6003,-0.005,-0.033,-0.044,-0.043
"Muirfield Village GC",72,7347,471,188,0.99,0.18,0.13,-0.25,286.4,17.1,0.6362,0,-0.052,-0.043,-0.009
"Pebble Beach Golf Links",72,6887,443,171,-0.49,0.06,0.03,-0.27,272,18.1,0.6949,-0.017,0.026,-0.042,-0.024
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032
"Whistling Straits",72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.5997,0.009,-0.074,-0.028,0.006
"Harbour Town Golf Links",71,6960,445,183,-0.06,0.12,0.04,-0.33,275.2,19.4,0.614,-0.003,0.044,-0.027,-0.055
"TPC San Antonio",72,7313,469,188,0.38,0.06,0.09,-0.2,290,19,0.5619,-0.002,-0.003,-0.027,-0.019
"Bethpage State Park, Black Course",71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.5699,-0.01,-0.001,-0.027,-0.008
"Royal Liverpool Golf Club",71,7273,467,182,1.86,0.12,0.18,-0.21,275.6,22.2,0.5216,0.016,-0.033,-0.024,-0.101
"Innisbrook Resort - Copperhead",71,7082,469,199,0.72,0.12,0.11,-0.23,276.9,17.2,0.5709,-0.004,0.021,-0.023,-0.061
"PGA West",72,6844,460,173,-1.98,0.03,0.05,-0.51,277.8,15,0.6311,-0.001,0.045,-0.021,-0.012
"The Renaissance Club",70,7077,477,177,0.82,0.11,0.11,-0.27,294.1,20.4,0.5127,-0.015,0.082,-0.021,-0.015
"Winged Foot Golf Club",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069
"Plainfield CC",70,6829,438,175,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,-0.013,-0.036,-0.014,-0.015
"Firestone Country Club",70,7337,467,200,1.48,0.09,0.12,-0.18,298.8,22.1,0.4636,0.002,-0.005,-0.014,0.012
"Quail Hollow Club",71,7414,474,195,0.86,0.14,0.12,-0.31,296.6,20.4,0.5265,-0.01,0.007,-0.012,0.021
"St. George's Golf and Country Club",70,7006,464,196,0.3,0.04,0.11,-0.34,293.2,18.9,0.6188,-0.007,-0.019,-0.011,0.019
"Colonial CC",70,6995,445,194,0.6,0.09,0.06,-0.23,280.1,19.3,0.5523,0.004,0.022,-0.01,-0.043
"TPC Southwind",70,7088,456,175,0.17,0.04,0.07,-0.4,289.7,17.4,0.5629,0.007,0.004,-0.008,-0.002
"Memorial Park Golf Course",70,7070,477,177,0.85,0.07,0.1,-0.17,290.1,16.8,0.5644,0,-0.044,-0.007,0.013
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6299,0.001,-0.013,-0.005,0.012
"TPC Harding Park",70,7180,457,197,1.03,0.12,0.11,-0.38,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009
"TPC Scottsdale",71,7274,467,183,-0.24,0.05,0.06,-0.35,300,17.9,0.5591,0.007,-0.009,-0.003,0.019
"Congaree Golf Club",71,7364,473,188,0.08,0.1,0.05,-0.29,301.5,20.9,0.7075,-0.005,-0.039,-0.003,0.071
"Oak Hill Country Club",70,7339,469,196,2.94,0.16,0.2,-0.03,288.2,20.6,0.4524,-0.005,-0.038,-0.003,-0.065
"Wilmington Country Club",71,7424,475,194,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019
"The Concession Golf Club",72,7327,465,204,0.22,0.15,0.07,-0.28,285.8,18,0.6994,0.001,-0.03,-0.002,-0.029
"Silverado Resort (North Course)",72,7092,452,190,-0.98,0.09,0,-0.33,286.9,21.2,0.5135,-0.003,-0.011,-0.002,-0.008
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.6488,-0.013,-0.019,-0.001,0.021
"TPC Potomac at Avenel Farm",70,7069,451,190,0.93,0.07,0.08,-0.13,280.7,18.1,0.5972,0.003,-0.014,0,-0.038
"Torrey Pines",72,7577,486,194,1.21,0.1,0.18,-0.24,288.8,15.8,0.5283,-0.02,0.005,0.001,-0.024
"Pete Dye Stadium Course",72,7140,457,187,-1.42,0.09,-0.05,-0.33,281,16.6,0.592,0.008,0.046,0.004,-0.024
"Olympia Fields Country Club",70,7283,464,196,1.55,0.11,0.12,-0.16,293.5,20.8,0.5079,-0.003,-0.006,0.004,-0.026
"Club de Golf Chapultepec",71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.5711,-0.024,0.006,0.006,0.061
"Sherwood CC",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.5289,0.006,-0.077,0.007,0.006
"Hamilton G&CC",70,6832,430,202,-0.62,0.09,0,-0.47,285.3,17.5,0.5569,-0.006,0,0.008,0.004
"Riviera CC",71,7243,463,190,0.67,0.1,0.14,-0.41,286.5,20,0.5153,-0.018,0.009,0.008,-0.028
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.5999,0.005,0.005,0.011,0.012
"Oakdale Golf & Country Club",72,7231,445,188,-0.73,-0.02,0.04,-0.37,282.1,18.9,0.5558,0.004,-0.006,0.012,-0.027
"Kapalua Resort",73,7350,452,190,-2.17,0.06,-0.03,-0.49,292,20.3,0.7216,-0.007,0.013,0.013,0.086
"TPC River Highlands",70,6800,432,188,-0.48,0.02,0,-0.28,284.4,18.9,0.6481,0.002,-0.054,0.014,-0.003
"TPC Summerlin",71,7074,451,190,-1.44,0.05,-0.03,-0.44,298.5,19.5,0.6104,0.007,-0.049,0.014,0.052
"Liberty National Golf Course",71,7201,460,190,-0.3,0.05,0.07,-0.43,286.4,17.2,0.6609,0.008,0.019,0.015,-0.023
"Country Club of Jackson",72,7209,462,186,-1.44,0.01,-0.03,-0.3,287.5,17.9,0.5465,0.001,0.019,0.015,0.002
"Golf Club of Houston",72,7319,468,192,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6321,0.01,0.039,0.015,-0.049
"TPC Four Seasons Resort",70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.5711,0,-0.006,0.016,-0.014
"East Lake Golf Club",70,7280,461,205,0.57,0.13,0.08,-0.46,290.8,16.3,0.54,0.013,0.005,0.019,-0.001
"Medinah Country Club",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.6228,0.009,0.033,0.021,0.016
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006
"Austin Country Club",71,6900,449,179,-2.09,0,-0.07,-0.52,301.4,21.4,0.5859,0.006,0.018,0.023,0.045
"The Los Angeles Country Club",70,7335,482,213,1.91,0.17,0.15,-0.17,294.7,19.7,0.662,-0.014,-0.019,0.023,0.043
"Sea Island Golf Club",70,6878,435,195,-1.04,0,-0.02,-0.4,280,15.7,0.7103,0.006,0.02,0.024,-0.004
"Vidanta Vallarta",71,7323,495,181,-1.26,0.04,0.02,-0.42,299.8,17.5,0.6333,0.003,0.063,0.024,0.035
"TPC Twin Cities",71,7213,462,191,-1.13,0,-0.01,-0.34,292.5,16.6,0.6392,0.013,0.012,0.024,0.011
"Ridgewood Country Club",71,7290,467,190,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.008,-0.023,0.026,-0.03
"TPC Deere Run",71,7119,455,186,-1.76,-0.04,-0.04,-0.37,290.2,18.2,0.6962,0.011,-0.006,0.027,0.047
"Detroit Golf Club",72,7320,470,183,-1.94,0.01,-0.04,-0.38,297,19.9,0.6582,-0.004,0.011,0.03,0.048
"Bellerive Country Club",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6484,0.004,0.004,0.033,0.003
"Waialae CC",70,7022,449,185,-1.24,0.03,-0.01,-0.65,291,21.1,0.5654,0.003,0.036,0.038,0.014
"Keene Trace Golf Club",72,7143,456,188,-3.14,-0.03,-0.07,-0.58,293.8,18.1,0.6229,0.002,0.021,0.04,0.036
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015
"Trinity Forest Golf Club",71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059
"Aronimink Golf Club",70,7036,446,199,-1.14,0.04,-0.03,-0.46,286.3,16.5,0.6825,0.01,-0.014,0.042,0.035
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6592,0.005,0.008,0.044,0.029
"Robert Trent Jones GC",71,7265,465,187,-0.82,0.01,0,-0.29,285.6,17.6,0.6464,-0.004,-0.026,0.046,0.033
"TPC Craig Ranch",72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.7,16.4,0.6408,0.009,0.047,0.046,0.032
"Baltusrol GC",70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.5881,-0.005,0.018,0.048,-0.022
"TPC Louisiana",72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.69,0.009,0.015,0.054,0.002
"RTJ Trail (Grand National)",71,7095,453,190,-2.13,0.01,-0.06,-0.51,282.9,17,0.6688,-0.006,0.03,0.058,0.037
"Caves Valley Golf Club",72,7424,471,209,-1.9,0.04,-0.05,-0.39,290.2,17,0.6509,0.011,0.008,0.059,0.042
"Sedgefield Country Club",70,6958,442,193,-1.21,-0.02,0,-0.57,286,18.3,0.6155,-0.007,-0.037,0.072,0.023
"The Summit Club",72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.4,19.8,0.6491,0,0.048,0.085,0.056
