id,name,event_type,currency,course_timezone,coverage,status,scoring_system,seasons,leaderboard,purse,points,start_date,end_date,network,winning_share,cut_round,cutline,projected_cutline
93313ba8-53b8-4da6-be57-a6792f8fb6b3,Houston Open Playoff,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': 'dbc9bbb1-e51c-47bc-8f72-be7598ffbf7e', 'year': 2018, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 2, 'tied': False, 'score': 3, 'strokes': 7, 'rounds': [{'score': 3, 'strokes': 7, 'thru': 1, 'eagles': 0, 'birdies': 0, 'pars': 0, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 1, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
038ab3ab-73ad-474f-a252-0bc7b67fb72c,U.S. Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '336f4027-458d-487d-a679-3ce330c0d733', 'year': 2015, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 58, 'tied': True, 'money': 0.0, 'points': 0.0, 'score': 12, 'strokes': 292, 'rounds': [{'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 11, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 2, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 11, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 3, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 11, 'bogeys': 2, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 6, 'strokes': 76, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 8, 'bogeys': 5, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",10000000.0,600.0,2015-06-18,2015-06-21,FOX,1620000.0,,,
09d3e7c3-9667-431d-87c7-64666f8eac72,Farmers Insurance Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 49, 'tied': True, 'money': 16536.0, 'points': 0.0, 'score': -1, 'strokes': 287, 'rounds': [{'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 13, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 3, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 13, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 2, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 9, 'bogeys': 4, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6700000.0,500.0,2017-01-26,2017-01-29,"The Golf Channel, CBS",,,,
bc8acbc8-4b19-4152-bb2d-b05876b7b8bb,AT&T Pebble Beach Pro-Am,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 79, 'tied': True, 'score': 1, 'strokes': 216, 'status': 'CUT', 'rounds': [{'score': 3, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 12, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -2, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 10, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}]}",7200000.0,500.0,2017-02-09,2017-02-12,"The Golf Channel, CBS",1296000.0,,,
df42e950-c6a7-4b3d-8b93-41efa1bfdf82,Valspar Championship,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 70, 'tied': True, 'score': 1, 'strokes': 143, 'status': 'CUT', 'rounds': [{'score': 3, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 14, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -2, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 14, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",6300000.0,500.0,2017-03-09,2017-03-12,"The Golf Channel, NBC",1134000.0,,,
efa623e0-36a9-4644-b5a1-c1276c8f04b5,Shell Houston Open,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 39, 'tied': True, 'money': 28700.0, 'points': 0.0, 'score': -3, 'strokes': 285, 'rounds': [{'score': -2, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 10, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 14, 'bogeys': 0, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 2, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 13, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -2, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 12, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",7000000.0,500.0,2017-03-30,2017-04-02,"The Golf Channel, NBC",1260000.0,,,
df50bd0a-14f0-4614-ad89-bbb2a84990c8,Valero Texas Open,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 144, 'tied': True, 'score': 8, 'strokes': 152, 'status': 'CUT', 'rounds': [{'score': 3, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 12, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 5, 'strokes': 77, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 8, 'bogeys': 6, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",6200000.0,500.0,2017-04-20,2017-04-23,"The Golf Channel, CBS",1116000.0,,,
296a3a42-807a-4d2c-a80c-0c9819a0b2d2,AT&T Byron Nelson,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 61, 'tied': True, 'money': 16050.0, 'points': 0.0, 'score': 4, 'strokes': 284, 'rounds': [{'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -2, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 12, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 9, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 5, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 9, 'bogeys': 7, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",7500000.0,500.0,2017-05-18,2017-05-21,"The Golf Channel, NBC",1350000.0,,,
6180b261-9595-4b90-a706-58f54258da71,DEAN & DELUCA Invitational,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 94, 'tied': True, 'score': 8, 'strokes': 148, 'status': 'CUT', 'rounds': [{'score': 2, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 12, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 6, 'strokes': 76, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 12, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 1, 'holes_in_one': 0, 'sequence': 2}]}",6900000.0,500.0,2017-05-25,2017-05-28,"The Golf Channel, CBS",1242000.0,,,
4371d995-5494-444b-812e-386417ed6a43,Travelers Championship,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 53, 'tied': True, 'money': 15742.0, 'points': 0.0, 'score': -2, 'strokes': 278, 'rounds': [{'score': -4, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 12, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 2, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 14, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 11, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6800000.0,500.0,2017-06-22,2017-06-25,"The Golf Channel, CBS",1224000.0,,,
