id,name,event_type,currency,course_timezone,coverage,status,scoring_system,seasons,leaderboard,purse,points,start_date,end_date,network,winning_share,cut_round,cutline,projected_cutline
1014944f-c72e-4538-8129-2700d4e6787b,Rocket Mortgage Classic Playoff,stroke,USD,America/Detroit,full,closed,stroke,"[{'id': 'ece9907c-6fe3-4944-8cb9-bb1033270259', 'year': 2023, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 2, 'tied': True, 'score': 0, 'strokes': 4, 'rounds': [{'score': 0, 'strokes': 4, 'thru': 1, 'eagles': 0, 'birdies': 0, 'pars': 1, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
ff2d660f-29b6-41d7-8d07-9ecf91b8e016,Charles Schwab Challenge Playoff,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '83eb0a3a-dd69-40d3-a9ba-f49e398fdb61', 'year': 2020, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 2, 'tied': False, 'score': 1, 'strokes': 5, 'rounds': [{'score': 1, 'strokes': 5, 'thru': 1, 'eagles': 0, 'birdies': 0, 'pars': 0, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
79b00955-02a9-44d5-9b77-a5b32931914e,the Memorial Tournament presented by Nationwide Playoff,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '2d6bebeb-a384-463c-9baf-c2064340acfd', 'year': 2021, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 2, 'tied': False, 'score': 1, 'strokes': 5, 'rounds': [{'score': 1, 'strokes': 5, 'thru': 1, 'eagles': 0, 'birdies': 0, 'pars': 0, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
b62e76d5-3717-4307-892b-41125fdf0385,Workday Charity Open Playoff,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '83eb0a3a-dd69-40d3-a9ba-f49e398fdb61', 'year': 2020, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 1, 'tied': False, 'score': -1, 'strokes': 11, 'rounds': [{'score': -1, 'strokes': 11, 'thru': 3, 'eagles': 0, 'birdies': 1, 'pars': 2, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
2febfbda-3fd8-44a5-872e-fc0447bf792b,Safeway Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 87, 'tied': True, 'score': -1, 'strokes': 143, 'status': 'CUT', 'rounds': [{'score': 2, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 6, 'bogeys': 4, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -3, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 11, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",6000000.0,500.0,2016-10-13,2016-10-16,The Golf Channel,,,,
2c6a8498-4a73-494b-92b9-29bbbcd1d015,Arnold Palmer Invitational presented by Mastercard,stroke,USD,America/New_York,full,closed,stroke,"[{'id': 'dbc9bbb1-e51c-47bc-8f72-be7598ffbf7e', 'year': 2018, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 64, 'tied': True, 'money': 18868.0, 'points': 0.0, 'score': 2, 'strokes': 290, 'rounds': [{'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 1, 'birdies': 1, 'pars': 13, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 10, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 13, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 3, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 13, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",8900000.0,500.0,2018-03-15,2018-03-18,"The Golf Channel, NBC",1602000.0,,,
b951c9f1-8c25-4619-a8d0-321f4e7dbb1c,RBC Canadian Open,stroke,USD,America/Toronto,full,closed,stroke,"[{'id': '42cb037c-a813-49b3-a64e-1355e7bf4038', 'year': 2019, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 14, 'tied': True, 'money': 125400.0, 'points': 0.0, 'score': -8, 'strokes': 272, 'rounds': [{'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -4, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 10, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -3, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",7600000.0,500.0,2019-06-06,2019-06-09,"The Golf Channel, CBS",1368000.0,,,
d59637dc-7f7a-4cd8-a4af-0c5d419a9f39,U.S. Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '42cb037c-a813-49b3-a64e-1355e7bf4038', 'year': 2019, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}, {'id': '6a06d55e-0f07-4b5b-8abf-c228fa554c4c', 'year': 2019, 'tour': {'id': 'e97bb87a-6347-40d0-8c8c-3d0f54a41043', 'alias': 'EURO', 'name': 'DP World Tour'}}]","{'position': 35, 'tied': True, 'money': 57853.0, 'points': 0.0, 'score': 1, 'strokes': 285, 'rounds': [{'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 6, 'bogeys': 6, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 2, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 10, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 1, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 13, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -2, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 8, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",12500000.0,600.0,2019-06-13,2019-06-16,"Fox Sports 1, FOX",2160000.0,,,
1a3d42a3-c571-42ad-8e72-5c5b75d55176,Travelers Championship,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '42cb037c-a813-49b3-a64e-1355e7bf4038', 'year': 2019, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 36, 'tied': True, 'money': 32451.0, 'points': 0.0, 'score': -4, 'strokes': 276, 'rounds': [{'score': -4, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 12, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -3, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 5, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 7, 'bogeys': 5, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -2, 'strokes': 68, 'thru': 18, 'eagles': 1, 'birdies': 4, 'pars': 10, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",7200000.0,500.0,2019-06-20,2019-06-23,"The Golf Channel, CBS",1296000.0,,,
6605bb6a-b2a3-46bc-bdab-55af688066bc,3M Open,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '42cb037c-a813-49b3-a64e-1355e7bf4038', 'year': 2019, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 2, 'tied': True, 'money': 563200.0, 'points': 0.0, 'score': -20, 'strokes': 264, 'rounds': [{'score': -3, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -5, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 7, 'pars': 9, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -7, 'strokes': 64, 'thru': 18, 'eagles': 0, 'birdies': 8, 'pars': 9, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -5, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 7, 'pars': 9, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6400000.0,500.0,2019-07-04,2019-07-07,"The Golf Channel, CBS",1152000.0,,,
