id,name,event_type,currency,course_timezone,coverage,status,scoring_system,seasons,leaderboard,purse,points,start_date,end_date,network,winning_share,cut_round,cutline,projected_cutline
8a62129a-fa30-4c26-a85d-60854d46af4b,Waste Management Phoenix Open Playoff,stroke,USD,America/Phoenix,full,closed,stroke,"[{'id': 'f7df115a-0ddd-4894-8e81-07e27f533067', 'year': 2016, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 2, 'tied': False, 'score': 0, 'strokes': 16, 'rounds': [{'score': 0, 'strokes': 16, 'thru': 4, 'eagles': 0, 'birdies': 1, 'pars': 2, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
0f36d797-b179-46f5-9fe6-916ffb53cf07,THE PLAYERS Championship Playoff,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '336f4027-458d-487d-a679-3ce330c0d733', 'year': 2015, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 1, 'tied': False, 'score': -2, 'strokes': 13, 'rounds': [{'score': -2, 'strokes': 13, 'thru': 4, 'eagles': 0, 'birdies': 2, 'pars': 2, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
1014944f-c72e-4538-8129-2700d4e6787b,Rocket Mortgage Classic Playoff,stroke,USD,America/Detroit,full,closed,stroke,"[{'id': 'ece9907c-6fe3-4944-8cb9-bb1033270259', 'year': 2023, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 1, 'tied': False, 'score': -1, 'strokes': 3, 'rounds': [{'score': -1, 'strokes': 3, 'thru': 1, 'eagles': 0, 'birdies': 1, 'pars': 0, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
43f2606f-6623-451d-9615-6b60c68b5fcc,Hyundai Tournament of Champions,stroke,USD,Pacific/Honolulu,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 6, 'tied': True, 'money': 212500.0, 'points': 95.0, 'score': -8, 'strokes': 211, 'rounds': [{'score': -3, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 11, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 1, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 1, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -6, 'strokes': 67, 'thru': 18, 'eagles': 1, 'birdies': 6, 'pars': 10, 'bogeys': 0, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}]}",5700000.0,500.0,2013-01-03,2013-01-08,Golf Channel,,,,
35c6baab-feb4-4a15-a66d-d24bb9ea8da2,Farmers Insurance Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 6, 'tied': True, 'money': 204350.0, 'points': 91.67, 'score': -8, 'strokes': 280, 'rounds': [{'score': 5, 'strokes': 77, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 8, 'bogeys': 6, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -7, 'strokes': 65, 'thru': 18, 'eagles': 0, 'birdies': 7, 'pars': 11, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -2, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 0, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 14, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6100000.0,500.0,2013-01-24,2013-01-27,Golf Channel/CBS,,,,
5a98afd4-10e5-4a7f-b6de-b5e01b05cdd2,Waste Management Phoenix Open,stroke,USD,America/Phoenix,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 75, 'tied': True, 'score': -3, 'strokes': 139, 'status': 'CUT', 'rounds': [{'score': -3, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 11, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 10, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",6200000.0,500.0,2013-01-31,2013-02-03,Golf Channel/NBC,,,,
5f13cbeb-3617-4bbd-981b-c920821f746d,The Honda Classic,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 13, 'tied': True, 'money': 109200.0, 'points': 56.4, 'score': -1, 'strokes': 279, 'rounds': [{'score': -5, 'strokes': 65, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 11, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 69, 'thru': 18, 'eagles': 1, 'birdies': 2, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 4, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 8, 'bogeys': 7, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6000000.0,500.0,2013-02-28,2013-03-03,Golf Channel/NBC,,,,
2865a49c-11e0-4f3f-8376-d8ea1407b722,World Golf Championships-Cadillac Championship,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 35, 'tied': True, 'money': 68500.0, 'points': 34.5, 'score': -1, 'strokes': 287, 'rounds': [{'score': -3, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -3, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 10, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 6, 'strokes': 78, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 12, 'bogeys': 3, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",8750000.0,550.0,2013-03-07,2013-03-10,Golf Channel/NBC,,,,
dfb4da2a-b08d-4b99-9ceb-e4cfca6e03b6,Arnold Palmer Invitational presented by MasterCard,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 3, 'tied': True, 'money': 297600.0, 'points': 133.75, 'score': -8, 'strokes': 280, 'rounds': [{'score': 1, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 11, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 13, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 11, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 1, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 1, 'holes_in_one': 0, 'sequence': 4}]}",6200000.0,500.0,2013-03-21,2013-03-24,Golf Channel/NBC,,,,
6d55c6e0-be25-4614-b122-90194198a283,The Masters,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 38, 'tied': True, 'money': 32000.0, 'points': 29.5, 'score': 4, 'strokes': 292, 'rounds': [{'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 1, 'birdies': 6, 'pars': 9, 'bogeys': 0, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 4, 'strokes': 76, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 1, 'holes_in_one': 0, 'sequence': 2}, {'score': -2, 'strokes': 70, 'thru': 18, 'eagles': 1, 'birdies': 1, 'pars': 15, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 6, 'strokes': 78, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 6, 'bogeys': 6, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",8000000.0,600.0,2013-04-11,2013-04-14,ESPN/CBS,,,,
2a8971bf-f674-436b-be46-7a74b722c64d,Zurich Classic of New Orleans,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 32, 'tied': True, 'money': 33528.0, 'points': 34.5, 'score': -9, 'strokes': 279, 'rounds': [{'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 11, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 1, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 9, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 13, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 12, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6600000.0,500.0,2013-04-25,2013-04-28,Golf Channel/CBS,,,,
6720fd78-75a1-42a4-b341-29163dc7c837,Wells Fargo Championship,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 73, 'tied': True, 'money': 12596.0, 'points': 0.88, 'score': 5, 'strokes': 221, 'status': 'MDF', 'rounds': [{'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 5, 'strokes': 77, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 11, 'bogeys': 6, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}]}",6700000.0,500.0,2013-05-02,2013-05-05,Golf Channel/CBS,,,,
b2055743-0e68-422d-8f81-431bdc7e84e5,The PLAYERS Championship,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 78, 'tied': True, 'score': 1, 'strokes': 145, 'status': 'CUT', 'rounds': [{'score': 1, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 1, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",9500000.0,600.0,2013-05-09,2013-05-12,Golf Channel/NBA,,,,
c8462be8-c76f-4e53-846d-a639847f55ff,Crowne Plaza Invitational at Colonial,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 54, 'tied': True, 'money': 14400.0, 'points': 13.5, 'score': 0, 'strokes': 280, 'rounds': [{'score': -1, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 9, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 15, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 2, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 13, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6400000.0,500.0,2013-05-23,2013-05-26,Golf Channel/CBS,,,,
ab29c8f0-933f-4836-a342-48d9aa4f03bf,The Memorial Tournament,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 37, 'tied': True, 'money': 28520.0, 'points': 32.5, 'score': 2, 'strokes': 290, 'rounds': [{'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 8, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 4, 'strokes': 76, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 10, 'bogeys': 3, 'double_bogeys': 2, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 13, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6200000.0,500.0,2013-05-30,2013-06-02,Golf Channel/CBS,,,,
