id,name,event_type,currency,course_timezone,coverage,status,scoring_system,seasons,leaderboard,purse,points,start_date,end_date,network,winning_share,cut_round,cutline,projected_cutline
f130def5-5787-467d-b618-b94ca202865b,PGA Championship Playoff,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}, {'id': '17a0f02f-3ca5-41ec-bbf6-9dac6f55eb8c', 'year': 2022, 'tour': {'id': 'e97bb87a-6347-40d0-8c8c-3d0f54a41043', 'alias': 'EURO', 'name': 'DP World Tour'}}]","{'position': 1, 'tied': False, 'score': -2, 'strokes': 11, 'rounds': [{'score': -2, 'strokes': 11, 'thru': 3, 'eagles': 0, 'birdies': 2, 'pars': 1, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
f50ad093-6238-49e3-876c-c4d52f4f39e1,The Honda Classic Playoff,stroke,USD,America/New_York,full,closed,stroke,"[{'id': 'dbc9bbb1-e51c-47bc-8f72-be7598ffbf7e', 'year': 2018, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 1, 'tied': False, 'score': -1, 'strokes': 4, 'rounds': [{'score': -1, 'strokes': 4, 'thru': 1, 'eagles': 0, 'birdies': 1, 'pars': 0, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
7c169ad4-434a-4231-88c8-778ecdf52283,Sentry Tournament of Champions Playoff,stroke,USD,Pacific/Honolulu,full,closed,stroke,"[{'id': '83eb0a3a-dd69-40d3-a9ba-f49e398fdb61', 'year': 2020, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 1, 'tied': False, 'score': -2, 'strokes': 13, 'rounds': [{'score': -2, 'strokes': 13, 'thru': 3, 'eagles': 0, 'birdies': 2, 'pars': 1, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
ba081e5d-040a-4d6a-8dcd-dbe1e46b0d25,The CJ Cup at Nine Bridges Playoff,stroke,USD,Asia/Seoul,full,closed,stroke,"[{'id': 'dbc9bbb1-e51c-47bc-8f72-be7598ffbf7e', 'year': 2018, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 1, 'tied': False, 'score': -1, 'strokes': 9, 'rounds': [{'score': -1, 'strokes': 9, 'thru': 2, 'eagles': 0, 'birdies': 1, 'pars': 1, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
b62e76d5-3717-4307-892b-41125fdf0385,Workday Charity Open Playoff,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '83eb0a3a-dd69-40d3-a9ba-f49e398fdb61', 'year': 2020, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 2, 'tied': False, 'score': 0, 'strokes': 12, 'rounds': [{'score': 0, 'strokes': 12, 'thru': 3, 'eagles': 0, 'birdies': 1, 'pars': 1, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
e98250a5-f08f-480e-8dbc-2b1e88f8304c,World Golf Championships-Mexico Championship Playoff,stroke,USD,America/Mexico_City,full,closed,stroke,"[{'id': 'dbc9bbb1-e51c-47bc-8f72-be7598ffbf7e', 'year': 2018, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}, {'id': '8cf42dd8-8a1e-4a8a-9137-dc6ac59cd63d', 'year': 2018, 'tour': {'id': 'e97bb87a-6347-40d0-8c8c-3d0f54a41043', 'alias': 'EURO', 'name': 'DP World Tour'}}]","{'position': 2, 'tied': False, 'score': 1, 'strokes': 4, 'rounds': [{'score': 1, 'strokes': 4, 'thru': 1, 'eagles': 0, 'birdies': 0, 'pars': 0, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}]}",,,,,,,,,
8d40ed24-7855-43d4-ad0f-e84bbc6448a9,Travelers Championship,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 30, 'tied': True, 'money': 0.0, 'points': 0.0, 'score': -3, 'strokes': 277, 'rounds': [{'score': 2, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 12, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -4, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 7, 'pars': 8, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -4, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 10, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 3, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 11, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",6100000.0,500.0,2013-06-20,2013-06-23,Golf Channel/CBS,,,,
c55d6a2a-99c3-446c-a6bc-684d473b9203,John Deere Classic,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '6beb5f19-8063-4891-989e-5b5de3fe6d9b', 'year': 2013, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 73, 'tied': True, 'score': -3, 'strokes': 139, 'status': 'CUT', 'rounds': [{'score': 1, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 13, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -4, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 14, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",4600000.0,500.0,2013-07-11,2013-07-14,Golf Channel/CBS,,,,
8d463c8b-e259-482d-8729-3c9efa877a22,Frys.com Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '27e3e699-87d6-495f-9ea2-615cdfa6b1b5', 'year': 2014, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 72, 'tied': True, 'money': 9600.0, 'points': 0.92, 'score': 0, 'strokes': 213, 'status': 'MDF', 'rounds': [{'score': 1, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 13, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 13, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}]}",5000000.0,500.0,2013-10-10,2013-10-13,The Golf Channel,900000.0,,,
f130507b-73b3-41a8-9d3b-93fbbd074bbd,The McGladrey Classic,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '27e3e699-87d6-495f-9ea2-615cdfa6b1b5', 'year': 2014, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 120, 'tied': True, 'score': 8, 'strokes': 148, 'status': 'CUT', 'rounds': [{'score': 3, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 11, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 5, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 10, 'bogeys': 5, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",4200000.0,500.0,2013-11-07,2013-11-10,The Golf Channel,720000.0,,,
