id,name,event_type,purse,winning_share,currency,points,start_date,end_date,course_timezone,status,seasons,coverage,venue,rounds,field
3a247fb8-ba65-4c23-915f-f442c36d65fd,ZOZO CHAMPIONSHIP,stroke,11000000.0,1980000.0,USD,500.0,2022-10-13,2022-10-16,Asia/Tokyo,closed,"{'id': 'ece9907c-6fe3-4944-8cb9-bb1033270259', 'year': 2023, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",full,,"{'id': '0ecd06da-2407-4351-89cd-efc02a4e3fad', 'number': 1, 'status': 'closed', 'weather': {'temp': 59, 'condition': 'Light Rain', 'wind': {'speed': 12, 'direction': 'NNW'}}, 'broadcasts': [{'network': 'Golf Channel', 'satellite': '218', 'start_at': '2022-10-13T03:00:00+00:00', 'end_at': '2022-10-13T07:00:00+00:00'}, {'internet': 'Peacock', 'start_at': '2022-10-13T03:00:00+00:00', 'end_at': '2022-10-13T07:00:00+00:00'}]}","{'id': 'b2cde176-328d-4856-9684-6885a1651f57', 'first_name': 'Christiaan', 'last_name': 'Bezuidenhout', 'country': 'SOUTH AFRICA', 'abbr_name': 'C.Bezuidenhout'}"
,,,,,,,,,,,,,,"{'id': 'a65d0c71-dc3c-449f-a8dd-b81a5bdc9a6e', 'number': 2, 'status': 'closed', 'weather': {'temp': 68, 'condition': 'Partly cloudy', 'wind': {'speed': 13, 'direction': 'N'}}, 'broadcasts': [{'network': 'Golf Channel', 'satellite': '218', 'start_at': '2022-10-14T03:00:00+00:00', 'end_at': '2022-10-14T07:00:00+00:00'}, {'internet': 'Peacock', 'start_at': '2022-10-14T03:00:00+00:00', 'end_at': '2022-10-14T07:00:00+00:00'}]}","{'id': '0b5d3fd6-e3ec-4efd-8743-60db44c87425', 'first_name': 'Keegan', 'last_name': 'Bradley', 'country': 'UNITED STATES', 'abbr_name': 'K.Bradley'}"
,,,,,,,,,,,,,,"{'id': 'c2550087-3ac0-424f-9dca-26b7cc95a6eb', 'number': 3, 'status': 'closed', 'weather': {'temp': 75, 'condition': 'Partly cloudy', 'wind': {'speed': 8, 'direction': 'NNE'}}, 'broadcasts': [{'internet': 'Peacock', 'start_at': '2022-10-15T02:30:00+00:00', 'end_at': '2022-10-15T06:30:00+00:00'}, {'network': 'Golf Channel', 'satellite': '218', 'start_at': '2022-10-15T02:30:00+00:00', 'end_at': '2022-10-15T06:30:00+00:00'}]}","{'id': 'a92aa003-0301-40e3-ab69-663fe47d9012', 'first_name': 'Hayden', 'last_name': 'Buckley', 'country': 'UNITED STATES', 'abbr_name': 'H.Buckley'}"
,,,,,,,,,,,,,,"{'id': '1a155b35-186f-4c4d-9c1a-154a9b76cd51', 'number': 4, 'status': 'closed', 'weather': {'temp': 73, 'condition': 'Partly cloudy', 'wind': {'speed': 9, 'direction': 'ESE'}}, 'broadcasts': [{'internet': 'Peacock', 'start_at': '2022-10-16T03:00:00+00:00', 'end_at': '2022-10-16T07:00:00+00:00'}, {'network': 'Golf Channel', 'satellite': '218', 'start_at': '2022-10-16T03:00:00+00:00', 'end_at': '2022-10-16T07:00:00+00:00'}]}","{'id': '72b7246a-6391-4024-8d0f-35fa1c459664', 'first_name': 'Cameron', 'last_name': 'Champ', 'country': 'UNITED STATES', 'abbr_name': 'C.Champ'}"
,,,,,,,,,,,,,,,"{'id': '0f2eb1c3-7278-4b5e-af2e-fd67644834b5', 'first_name': 'Wyndham', 'last_name': 'Clark', 'country': 'UNITED STATES', 'abbr_name': 'W.Clark'}"
,,,,,,,,,,,,,,,"{'id': 'dfc22025-5644-4b06-9eac-52db7df7b259', 'first_name': 'Corey', 'last_name': 'Conners', 'country': 'CANADA', 'abbr_name': 'C.Conners'}"
,,,,,,,,,,,,,,,"{'id': 'e8860c1b-85bf-4997-8f60-cf8681935219', 'first_name': 'Joel', 'last_name': 'Dahmen', 'country': 'UNITED STATES', 'abbr_name': 'J.Dahmen'}"
,,,,,,,,,,,,,,,"{'id': 'f2bc6b83-fab1-4567-8bcf-9287d1940f2d', 'first_name': 'Cameron', 'last_name': 'Davis', 'country': 'AUSTRALIA', 'abbr_name': 'C.Davis'}"
,,,,,,,,,,,,,,,"{'id': '6577ec3d-9e78-4979-8f4c-01c465fa6b1d', 'first_name': 'Tommy', 'last_name': 'Fleetwood', 'country': 'ENGLAND', 'abbr_name': 'T.Fleetwood'}"
,,,,,,,,,,,,,,,"{'id': '5735703a-32d9-4a6c-8b24-6596f300bc44', 'first_name': 'Rickie', 'last_name': 'Fowler', 'country': 'UNITED STATES', 'abbr_name': 'R.Fowler'}"
