id,name,event_type,purse,winning_share,currency,points,start_date,end_date,course_timezone,network,total_rounds,status,cutline,projected_cutline,cut_round,defending_champ,winner,venue
40ef66e7-2c3e-4102-9132-2c6d828acdb6,Fortinet Championship,stroke,8000000.0,1440000.0,USD,500.0,2022-09-15,2022-09-18,America/Los_Angeles,Golf Channel,4.0,closed,-2.0,-2.0,2.0,"{'id': '8e3fb27f-d585-4b9e-9c0e-284a654969f5', 'first_name': 'Max', 'last_name': 'Homa', 'height': 73, 'weight': 180, 'birthday': '1990-11-19', 'country': 'UNITED STATES', 'residence': 'Valencia, CA, USA', 'birth_place': 'Valencia, CA, USA', 'college': 'California', 'turned_pro': 2013, 'handedness': 'R', 'abbr_name': 'M.Homa'}","{'id': '8e3fb27f-d585-4b9e-9c0e-284a654969f5', 'first_name': 'Max', 'last_name': 'Homa', 'height': 73, 'weight': 180, 'birthday': '1990-11-19T00:00:00+00:00', 'country': 'UNITED STATES', 'residence': 'Valencia, CA, USA', 'birth_place': 'Valencia, CA, USA', 'college': 'California', 'turned_pro': 2013, 'handedness': 'R', 'abbr_name': 'M.Homa', 'name': 'Homa, Max'}","{'id': '117a15a3-be47-4216-9bbe-04a477a5a15c', 'name': 'Silverado Resort and Spa (North Course)', 'city': 'Napa', 'state': 'CA', 'zipcode': '94558', 'country': 'USA', 'courses': [{'id': 'c92e7a8c-ea4c-4034-942c-921e53621a77', 'name': 'Silverado Resort and Spa (North Course)', 'yardage': 7123, 'par': 72, 'holes': [{'number': 1, 'par': 4, 'yardage': 436}, {'number': 2, 'par': 3, 'yardage': 197}, {'number': 3, 'par': 4, 'yardage': 424}, {'number': 4, 'par': 4, 'yardage': 407}, {'number': 5, 'par': 5, 'yardage': 538}, {'number': 6, 'par': 4, 'yardage': 417}, {'number': 7, 'par': 3, 'yardage': 212}, {'number': 8, 'par': 4, 'yardage': 360}, {'number': 9, 'par': 5, 'yardage': 557}, {'number': 10, 'par': 4, 'yardage': 422}, {'number': 11, 'par': 3, 'yardage': 182}, {'number': 12, 'par': 4, 'yardage': 391}, {'number': 13, 'par': 4, 'yardage': 458}, {'number': 14, 'par': 4, 'yardage': 412}, {'number': 15, 'par': 3, 'yardage': 189}, {'number': 16, 'par': 5, 'yardage': 571}, {'number': 17, 'par': 4, 'yardage': 375}, {'number': 18, 'par': 5, 'yardage': 575}]}]}"
670f3ee8-8d8d-4aff-96cc-dfb555d94526,Presidents Cup,cup,,,USD,,2022-09-22,2022-09-25,America/New_York,"Golf Channel, NBC",5.0,closed,,,,,,"{'id': 'bb66b3fb-7248-47d5-ade5-291c704c040c', 'name': 'Quail Hollow Club', 'city': 'Charlotte', 'state': 'NC', 'zipcode': '28210', 'country': 'USA', 'courses': [{'id': '100b2a95-74d6-4fd8-8089-7a743481949f', 'name': 'Quail Hollow Club', 'yardage': 7576, 'par': 71, 'holes': [{'number': 1, 'par': 4, 'yardage': 500}, {'number': 2, 'par': 4, 'yardage': 452}, {'number': 3, 'par': 4, 'yardage': 483}, {'number': 4, 'par': 3, 'yardage': 184}, {'number': 5, 'par': 4, 'yardage': 449}, {'number': 6, 'par': 3, 'yardage': 249}, {'number': 7, 'par': 5, 'yardage': 546}, {'number': 8, 'par': 4, 'yardage': 346}, {'number': 9, 'par': 4, 'yardage': 456}, {'number': 10, 'par': 3, 'yardage': 208}, {'number': 11, 'par': 4, 'yardage': 344}, {'number': 12, 'par': 5, 'yardage': 577}, {'number': 13, 'par': 4, 'yardage': 506}, {'number': 14, 'par': 3, 'yardage': 223}, {'number': 15, 'par': 4, 'yardage': 494}, {'number': 16, 'par': 5, 'yardage': 592}, {'number': 17, 'par': 4, 'yardage': 462}, {'number': 18, 'par': 4, 'yardage': 505}]}]}"
80f07484-b938-4054-bb8f-1dee801f371d,Sanderson Farms Championship,stroke,7900000.0,1422000.0,USD,500.0,2022-09-29,2022-10-02,America/Chicago,Golf Channel,4.0,closed,-2.0,-2.0,2.0,"{'id': 'f572509d-7c6d-48b9-9c65-a20f6d2d492b', 'first_name': 'Sam', 'last_name': 'Burns', 'height': 73, 'weight': 185, 'birthday': '1996-07-23', 'country': 'UNITED STATES', 'residence': 'Baton Rouge, LA, USA', 'birth_place': 'Shreveport, LA, USA', 'college': 'LSU', 'turned_pro': 2017, 'handedness': 'R', 'abbr_name': 'S.Burns'}","{'id': '6cad8490-72de-4df2-9d6a-ee1be88df338', 'first_name': 'Mackenzie', 'last_name': 'Hughes', 'height': 73, 'weight': 180, 'birthday': '1990-11-23T00:00:00+00:00', 'country': 'CANADA', 'residence': 'Dundas, ON, CAN', 'birth_place': 'Dundas, ON, CAN', 'college': 'Kent State', 'turned_pro': 2012, 'handedness': 'R', 'abbr_name': 'M.Hughes', 'name': 'Hughes, Mackenzie'}","{'id': '3d7993d0-7448-4670-b793-f7d7dfe03ed1', 'name': 'Country Club of Jackson', 'city': 'Jackson', 'state': 'MS', 'zipcode': '39211', 'country': 'USA', 'courses': [{'id': '75b8bafb-081b-4993-b27a-341771e34f47', 'name': 'Country Club of Jackson', 'yardage': 7461, 'par': 72, 'holes': [{'number': 1, 'par': 4, 'yardage': 411}, {'number': 2, 'par': 4, 'yardage': 418}, {'number': 3, 'par': 5, 'yardage': 591}, {'number': 4, 'par': 3, 'yardage': 181}, {'number': 5, 'par': 5, 'yardage': 612}, {'number': 6, 'par': 4, 'yardage': 482}, {'number': 7, 'par': 3, 'yardage': 214}, {'number': 8, 'par': 4, 'yardage': 403}, {'number': 9, 'par': 4, 'yardage': 421}, {'number': 10, 'par': 3, 'yardage': 223}, {'number': 11, 'par': 5, 'yardage': 554}, {'number': 12, 'par': 4, 'yardage': 449}, {'number': 13, 'par': 3, 'yardage': 168}, {'number': 14, 'par': 5, 'yardage': 584}, {'number': 15, 'par': 4, 'yardage': 330}, {'number': 16, 'par': 4, 'yardage': 479}, {'number': 17, 'par': 4, 'yardage': 436}, {'number': 18, 'par': 4, 'yardage': 505}]}]}"
930073f3-a6ca-4501-97ee-54140730dba0,Shriners Children's Open,stroke,8000000.0,1440000.0,USD,500.0,2022-10-06,2022-10-09,America/Los_Angeles,Golf Channel,4.0,closed,-4.0,-4.0,2.0,"{'id': 'ac1db384-8cb4-4223-bc46-60f4ed963645', 'first_name': 'Sungjae', 'last_name': 'Im', 'height': 72, 'weight': 200, 'birthday': '1998-03-30', 'country': 'SOUTH KOREA', 'residence': 'Jeju,, KOR', 'birth_place': 'Cheongju,, KOR', 'college': 'Korea National Sport University', 'turned_pro': 2015, 'handedness': 'R', 'abbr_name': 'S.Im'}","{'id': 'aca3420a-9ed0-444d-b214-f831561f7c71', 'first_name': 'Tom', 'last_name': 'Kim', 'height': 72, 'birthday': '2002-06-21T00:00:00+00:00', 'country': 'SOUTH KOREA', 'residence': 'Dallas, TX, USA', 'birth_place': 'Seoul,, KOR', 'turned_pro': 2018, 'handedness': 'R', 'abbr_name': 'T.Kim', 'name': 'Kim, Tom'}","{'id': '4743d27b-678f-496f-a6b3-b90549955a14', 'name': 'TPC Summerlin', 'city': 'Las Vegas', 'state': 'NV', 'zipcode': '89134', 'country': 'USA', 'courses': [{'id': '293f93d0-6730-4081-a3e8-d9949c4db05b', 'name': 'TPC Summerlin ', 'yardage': 7255, 'par': 71, 'holes': [{'number': 1, 'par': 4, 'yardage': 408}, {'number': 2, 'par': 4, 'yardage': 469}, {'number': 3, 'par': 4, 'yardage': 492}, {'number': 4, 'par': 4, 'yardage': 450}, {'number': 5, 'par': 3, 'yardage': 197}, {'number': 6, 'par': 4, 'yardage': 430}, {'number': 7, 'par': 4, 'yardage': 382}, {'number': 8, 'par': 3, 'yardage': 239}, {'number': 9, 'par': 5, 'yardage': 563}, {'number': 10, 'par': 4, 'yardage': 420}, {'number': 11, 'par': 4, 'yardage': 448}, {'number': 12, 'par': 4, 'yardage': 442}, {'number': 13, 'par': 5, 'yardage': 606}, {'number': 14, 'par': 3, 'yardage': 168}, {'number': 15, 'par': 4, 'yardage': 341}, {'number': 16, 'par': 5, 'yardage': 560}, {'number': 17, 'par': 3, 'yardage': 196}, {'number': 18, 'par': 4, 'yardage': 444}]}]}"
3a247fb8-ba65-4c23-915f-f442c36d65fd,ZOZO CHAMPIONSHIP,stroke,11000000.0,1980000.0,USD,500.0,2022-10-13,2022-10-16,Asia/Tokyo,Golf Channel,4.0,closed,,,,"{'id': 'd45bcf4a-5803-4b0b-ab6c-6427a76cecf7', 'first_name': 'Hideki', 'last_name': 'Matsuyama', 'height': 71, 'weight': 198, 'birthday': '1992-02-25', 'country': 'JAPAN', 'residence': 'Sendai,, JPN', 'birth_place': 'Ehime,, JPN', 'college': 'Tohoku Fukushi', 'turned_pro': 2013, 'handedness': 'R', 'abbr_name': 'H.Matsuyama'}","{'id': '0b5d3fd6-e3ec-4efd-8743-60db44c87425', 'first_name': 'Keegan', 'last_name': 'Bradley', 'height': 75, 'weight': 190, 'birthday': '1986-06-07T00:00:00+00:00', 'country': 'UNITED STATES', 'residence': 'Jupiter, FL, USA', 'birth_place': 'Woodstock, VT, USA', 'college': ""St. John's"", 'turned_pro': 2008, 'handedness': 'R', 'abbr_name': 'K.Bradley', 'name': 'Bradley, Keegan'}","{'id': 'b2efd1bd-12e5-4dd2-941d-ba9f86f4fd78', 'name': 'Accordia Golf Narashino Country Club', 'city': 'Chiba', 'country': 'JPN', 'courses': [{'id': 'b5472441-c89d-4afb-a793-7df1cd7710cd', 'name': 'Accordia Golf Narashino Country Club', 'yardage': 7079, 'par': 70, 'holes': [{'number': 1, 'par': 4, 'yardage': 405}, {'number': 2, 'par': 4, 'yardage': 363}, {'number': 3, 'par': 3, 'yardage': 180}, {'number': 4, 'par': 4, 'yardage': 505}, {'number': 5, 'par': 3, 'yardage': 205}, {'number': 6, 'par': 5, 'yardage': 587}, {'number': 7, 'par': 3, 'yardage': 167}, {'number': 8, 'par': 4, 'yardage': 395}, {'number': 9, 'par': 4, 'yardage': 486}, {'number': 10, 'par': 4, 'yardage': 400}, {'number': 11, 'par': 4, 'yardage': 486}, {'number': 12, 'par': 4, 'yardage': 490}, {'number': 13, 'par': 3, 'yardage': 141}, {'number': 14, 'par': 5, 'yardage': 608}, {'number': 15, 'par': 4, 'yardage': 425}, {'number': 16, 'par': 3, 'yardage': 183}, {'number': 17, 'par': 4, 'yardage': 491}, {'number': 18, 'par': 5, 'yardage': 562}]}]}"
8252afda-4f4b-4eca-a6f9-d91bc233dd39,THE CJ CUP in South Carolina,stroke,10500000.0,1890000.0,USD,500.0,2022-10-20,2022-10-23,America/New_York,Golf Channel,4.0,closed,,,,"{'id': 'da226913-b804-48de-adbf-96e956eb75ac', 'first_name': 'Rory', 'last_name': 'McIlroy', 'height': 70, 'weight': 160, 'birthday': '1989-05-04', 'country': 'NORTHERN IRELAND', 'residence': 'Holywood,, IRL', 'birth_place': 'Holywood,, IRL', 'turned_pro': 2007, 'handedness': 'R', 'abbr_name': 'R.McIlroy'}","{'id': 'da226913-b804-48de-adbf-96e956eb75ac', 'first_name': 'Rory', 'last_name': 'McIlroy', 'height': 70, 'weight': 160, 'birthday': '1989-05-04T00:00:00+00:00', 'country': 'NORTHERN IRELAND', 'residence': 'Holywood,, IRL', 'birth_place': 'Holywood,, IRL', 'turned_pro': 2007, 'handedness': 'R', 'abbr_name': 'R.McIlroy', 'name': 'McIlroy, Rory'}","{'id': 'b1ce213a-bc24-4ca2-81fa-cd59136d1c59', 'name': 'Congaree Golf Club', 'city': 'Ridgeland', 'state': 'SC', 'zipcode': '29936', 'country': 'USA', 'courses': [{'id': '3245eb5c-3e09-4aa9-ada0-8184430a758a', 'name': 'Congaree Golf Club', 'yardage': 7655, 'par': 71, 'holes': [{'number': 1, 'par': 4, 'yardage': 435}, {'number': 2, 'par': 5, 'yardage': 595}, {'number': 3, 'par': 4, 'yardage': 360}, {'number': 4, 'par': 5, 'yardage': 645}, {'number': 5, 'par': 3, 'yardage': 170}, {'number': 6, 'par': 4, 'yardage': 520}, {'number': 7, 'par': 3, 'yardage': 195}, {'number': 8, 'par': 4, 'yardage': 540}, {'number': 9, 'par': 4, 'yardage': 510}, {'number': 10, 'par': 3, 'yardage': 205}, {'number': 11, 'par': 4, 'yardage': 490}, {'number': 12, 'par': 5, 'yardage': 580}, {'number': 13, 'par': 4, 'yardage': 465}, {'number': 14, 'par': 3, 'yardage': 230}, {'number': 15, 'par': 4, 'yardage': 360}, {'number': 16, 'par': 4, 'yardage': 435}, {'number': 17, 'par': 4, 'yardage': 475}, {'number': 18, 'par': 4, 'yardage': 445}]}]}"
97c8e78f-d903-4fea-ac5e-7513e91faf37,Butterfield Bermuda Championship,stroke,6500000.0,1170000.0,USD,500.0,2022-10-27,2022-10-30,America/Nassau,Golf Channel,4.0,closed,-6.0,-6.0,2.0,"{'id': 'b9cafdfc-8b4c-456e-a812-20e9ff739c10', 'first_name': 'Lucas', 'last_name': 'Herbert', 'height': 74, 'weight': 200, 'birthday': '1995-12-05', 'country': 'AUSTRALIA', 'residence': 'Peregian Beach,, AUS', 'birth_place': 'Bendigo,, AUS', 'turned_pro': 2015, 'handedness': 'R', 'abbr_name': 'L.Herbert'}","{'id': '7da9d857-1f6b-4d76-9396-592d5d9d65eb', 'first_name': 'Seamus', 'last_name': 'Power', 'height': 75, 'weight': 200, 'birthday': '1987-03-04T00:00:00+00:00', 'country': 'IRELAND', 'residence': 'Las Vegas, NV, USA', 'birth_place': 'Waterford,, IRL', 'college': 'East Tennessee State', 'turned_pro': 2011, 'handedness': 'R', 'abbr_name': 'S.Power', 'name': 'Power, Seamus'}","{'id': '37c759a2-a03a-49d9-a841-ec17c8eb9b48', 'name': 'Port Royal Golf Course', 'city': 'Southampton', 'country': 'BMU', 'courses': [{'id': 'a15be05a-e639-463f-87e1-afbc06ceb21c', 'name': 'Port Royal Golf Course', 'yardage': 6828, 'par': 71, 'holes': [{'number': 1, 'par': 4, 'yardage': 438}, {'number': 2, 'par': 5, 'yardage': 553}, {'number': 3, 'par': 3, 'yardage': 148}, {'number': 4, 'par': 4, 'yardage': 458}, {'number': 5, 'par': 4, 'yardage': 380}, {'number': 6, 'par': 4, 'yardage': 370}, {'number': 7, 'par': 5, 'yardage': 517}, {'number': 8, 'par': 3, 'yardage': 213}, {'number': 9, 'par': 4, 'yardage': 383}, {'number': 10, 'par': 4, 'yardage': 350}, {'number': 11, 'par': 4, 'yardage': 443}, {'number': 12, 'par': 4, 'yardage': 383}, {'number': 13, 'par': 3, 'yardage': 235}, {'number': 14, 'par': 4, 'yardage': 393}, {'number': 15, 'par': 4, 'yardage': 412}, {'number': 16, 'par': 3, 'yardage': 235}, {'number': 17, 'par': 5, 'yardage': 507}, {'number': 18, 'par': 4, 'yardage': 410}]}]}"
bfed5fed-40d9-4d0c-a6be-a689ba25a7ec,World Wide Technology Championship,stroke,8200000.0,1476000.0,USD,500.0,2022-11-03,2022-11-06,America/Cancun,Golf Channel,4.0,closed,-4.0,-4.0,2.0,"{'id': '965d925a-5ecd-409c-beb7-a34ef1ca52f3', 'first_name': 'Viktor', 'last_name': 'Hovland', 'height': 70, 'weight': 165, 'birthday': '1997-09-18', 'country': 'NORWAY', 'residence': 'Oslo,, NOR', 'birth_place': 'Oslo,, NOR', 'college': 'Oklahoma State', 'turned_pro': 2019, 'handedness': 'R', 'abbr_name': 'V.Hovland'}","{'id': 'd8a9ce2c-9bdf-4e54-b53e-58692a1f4d59', 'first_name': 'Russell', 'last_name': 'Henley', 'height': 72, 'weight': 180, 'birthday': '1989-04-12T00:00:00+00:00', 'country': 'UNITED STATES', 'residence': 'Daniel Island, SC, USA', 'birth_place': 'Macon, GA, USA', 'college': 'Georgia', 'turned_pro': 2011, 'handedness': 'R', 'abbr_name': 'R.Henley', 'name': 'Henley, Russell'}","{'id': '8ab742a1-7cc9-49fa-a7c7-78aa172e34c8', 'name': 'El Camaleon GC at the Mayakoba Resort', 'city': 'Playa del Carmen', 'country': 'MEX', 'courses': [{'id': '915f4687-4b2a-4c90-9ed8-a9fefc3b8765', 'name': 'El Camaleon Golf Club', 'yardage': 7034, 'par': 71, 'holes': [{'number': 1, 'par': 4, 'yardage': 438}, {'number': 2, 'par': 4, 'yardage': 428}, {'number': 3, 'par': 4, 'yardage': 389}, {'number': 4, 'par': 3, 'yardage': 116}, {'number': 5, 'par': 5, 'yardage': 554}, {'number': 6, 'par': 4, 'yardage': 416}, {'number': 7, 'par': 5, 'yardage': 571}, {'number': 8, 'par': 3, 'yardage': 151}, {'number': 9, 'par': 4, 'yardage': 462}, {'number': 10, 'par': 3, 'yardage': 200}, {'number': 11, 'par': 4, 'yardage': 360}, {'number': 12, 'par': 4, 'yardage': 451}, {'number': 13, 'par': 5, 'yardage': 532}, {'number': 14, 'par': 4, 'yardage': 452}, {'number': 15, 'par': 3, 'yardage': 155}, {'number': 16, 'par': 4, 'yardage': 515}, {'number': 17, 'par': 4, 'yardage': 386}, {'number': 18, 'par': 4, 'yardage': 458}]}]}"
d2c4a455-0ed4-4543-878a-440de91c4a20,Cadence Bank Houston Open,stroke,8400000.0,1512000.0,USD,500.0,2022-11-10,2022-11-13,America/Chicago,Golf Channel,4.0,closed,0.0,0.0,2.0,"{'id': '2a94c1a7-66a0-4917-8a05-6873ed4932fd', 'first_name': 'Jason', 'last_name': 'Kokrak', 'height': 76, 'weight': 225, 'birthday': '1985-05-22', 'country': 'UNITED STATES', 'residence': 'Charlotte, NC, USA', 'birth_place': 'North Bay, ON, CAN', 'college': 'Xavier', 'turned_pro': 2008, 'handedness': 'R', 'abbr_name': 'J.Kokrak'}","{'id': 'f33d746b-8e14-4325-a4e1-81d6f983b163', 'first_name': 'Tony', 'last_name': 'Finau', 'height': 76, 'weight': 200, 'birthday': '1989-09-14T00:00:00+00:00', 'country': 'UNITED STATES', 'residence': 'Scottsdale, AZ, USA', 'birth_place': 'Salt Lake City, UT, USA', 'turned_pro': 2007, 'handedness': 'R', 'abbr_name': 'T.Finau', 'name': 'Finau, Tony'}","{'id': '0001e4c7-ef4a-409f-bc83-cdc6fe1919a5', 'name': 'Memorial Park Golf Course', 'city': 'Houston', 'state': 'TX', 'zipcode': '77007', 'country': 'USA', 'courses': [{'id': '9ae77a17-3a8a-4554-b20a-9846172b27e3', 'name': 'Memorial Park Golf Course', 'yardage': 7412, 'par': 70, 'holes': [{'number': 1, 'par': 4, 'yardage': 522}, {'number': 2, 'par': 3, 'yardage': 167}, {'number': 3, 'par': 5, 'yardage': 587}, {'number': 4, 'par': 4, 'yardage': 490}, {'number': 5, 'par': 4, 'yardage': 440}, {'number': 6, 'par': 4, 'yardage': 443}, {'number': 7, 'par': 3, 'yardage': 216}, {'number': 8, 'par': 5, 'yardage': 625}, {'number': 9, 'par': 3, 'yardage': 182}, {'number': 10, 'par': 4, 'yardage': 456}, {'number': 11, 'par': 3, 'yardage': 237}, {'number': 12, 'par': 4, 'yardage': 496}, {'number': 13, 'par': 4, 'yardage': 406}, {'number': 14, 'par': 4, 'yardage': 529}, {'number': 15, 'par': 3, 'yardage': 155}, {'number': 16, 'par': 5, 'yardage': 576}, {'number': 17, 'par': 4, 'yardage': 382}, {'number': 18, 'par': 4, 'yardage': 503}]}]}"
0a23f93c-dc78-4059-a453-a2bb9b6faa46,The RSM Classic,stroke,8100000.0,1458000.0,USD,500.0,2022-11-17,2022-11-20,America/New_York,Golf Channel,4.0,closed,-4.0,-4.0,2.0,"{'id': 'c2e2cf74-3fc1-4c18-8bf5-8693ad9e0943', 'first_name': 'Talor', 'last_name': 'Gooch', 'height': 72, 'weight': 200, 'birthday': '1991-11-14', 'country': 'UNITED STATES', 'residence': 'Midwest City, OK, USA', 'birth_place': 'Midwest City, OK, USA', 'college': 'Oklahoma State', 'turned_pro': 2014, 'handedness': 'R', 'abbr_name': 'T.Gooch'}","{'id': 'f3dd1173-b81a-4048-abdb-34ae5bc06ed1', 'first_name': 'Adam', 'last_name': 'Svensson', 'height': 72, 'weight': 178, 'birthday': '1993-12-31T00:00:00+00:00', 'country': 'CANADA', 'residence': 'Palm Beach Gardens, FL, USA', 'birth_place': 'Surrey, BC, CAN', 'college': 'Barry', 'turned_pro': 2015, 'handedness': 'R', 'abbr_name': 'A.Svensson', 'name': 'Svensson, Adam'}","{'id': 'd9b80c1f-4a65-4c5e-8fa1-9e8d7d7477bf', 'name': 'Sea Island Golf Club', 'city': 'Sea Island', 'state': 'GA', 'zipcode': '31561', 'country': 'USA', 'courses': [{'id': '579d771a-f6a7-436b-8caa-5e68e527c636', 'name': 'Seaside Course at Sea Island Golf Club', 'yardage': 7005, 'par': 70, 'holes': [{'number': 1, 'par': 4, 'yardage': 417}, {'number': 2, 'par': 4, 'yardage': 415}, {'number': 3, 'par': 3, 'yardage': 204}, {'number': 4, 'par': 4, 'yardage': 429}, {'number': 5, 'par': 4, 'yardage': 409}, {'number': 6, 'par': 3, 'yardage': 179}, {'number': 7, 'par': 5, 'yardage': 582}, {'number': 8, 'par': 4, 'yardage': 368}, {'number': 9, 'par': 4, 'yardage': 452}, {'number': 10, 'par': 4, 'yardage': 418}, {'number': 11, 'par': 4, 'yardage': 425}, {'number': 12, 'par': 3, 'yardage': 223}, {'number': 13, 'par': 4, 'yardage': 408}, {'number': 14, 'par': 4, 'yardage': 442}, {'number': 15, 'par': 5, 'yardage': 565}, {'number': 16, 'par': 4, 'yardage': 407}, {'number': 17, 'par': 3, 'yardage': 192}, {'number': 18, 'par': 4, 'yardage': 470}]}, {'id': '00a68fb9-2ba1-4c14-912e-42ff46fdd35b', 'name': 'Plantation Course at Sea Island Golf Club', 'yardage': 7060, 'par': 72, 'holes': [{'number': 1, 'par': 4, 'yardage': 373}, {'number': 2, 'par': 4, 'yardage': 382}, {'number': 3, 'par': 3, 'yardage': 219}, {'number': 4, 'par': 5, 'yardage': 623}, {'number': 5, 'par': 4, 'yardage': 473}, {'number': 6, 'par': 4, 'yardage': 452}, {'number': 7, 'par': 3, 'yardage': 156}, {'number': 8, 'par': 5, 'yardage': 529}, {'number': 9, 'par': 4, 'yardage': 481}, {'number': 10, 'par': 4, 'yardage': 327}, {'number': 11, 'par': 3, 'yardage': 216}, {'number': 12, 'par': 4, 'yardage': 409}, {'number': 13, 'par': 4, 'yardage': 437}, {'number': 14, 'par': 5, 'yardage': 550}, {'number': 15, 'par': 4, 'yardage': 365}, {'number': 16, 'par': 3, 'yardage': 158}, {'number': 17, 'par': 4, 'yardage': 350}, {'number': 18, 'par': 5, 'yardage': 560}]}]}"
